review_id,title,text,rating,author,app_version,date,app_name,platform,extraction_method,extraction_date,userImage,thumbs_up,developer_response,replied_at,appVersion,has_complaint,is_analyzed_by_id,claude_summary,claude_sentiment,sentiment_score,primary_category,sub_category,technical_issues,complaint_severity,is_app_related,analysis_status
82668dec-0e20-4c79-b441-0c4e0746120e,,Love the app. No problems for me,5.0,A Google user,5.13.3.6,2020-03-06 2:04,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,Thanks for your love and 5-star rating! Cheers! /Moin,2020-03-06 20:34,5.13.3.6,False,False,The reviewer loves the app and has not experienced any problems.,Positive,1.0,User Feedback,Positive Feedback,,,True,success
11815066536,Rogers,Rogers is incredibly useless,1.0,sevenirish,6.17.0,2024-10-09T08:45:15-07:00,Rogers,iOS,itunes_rss,2025-05-22,,,,,,False,False,The review states that the Rogers app is incredibly useless.,Negative,-1.0,User Experience,Usability,,Major,True,success
54748624-1ab8-47e9-b659-93dcd9942899,,I liked quickview. Gone now.,4.0,A Google user,5.9.2.5,2019-09-06 6:43,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Homercles, I know how disappointing it can be to lose a feature you enjoyed using. We are constantly making updates to our Apps so we will ensure to let the App Development team know about your comments for future versions. Thanks for providing us with your feedback! ^tb",2019-09-07 7:56,5.9.2.5,False,False,"The reviewer liked the quickview feature, which is now gone.",Negative,-0.5,Features,Removed Features,,Minor,True,success
3eae7b64-92b3-4788-89af-43deb15d862b,,I hate it!!! It's terrible !!!,1.0,A Google user,5.13.0.19,2019-12-06 13:31,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Abe, we're disappointed to see that our App is not working well for you. We'd love to hear your feedback on what you specifically did not like about the App. We will pass along your feedback to the App developers to review for future versions. We look forward to your response. ^tb",2019-12-07 20:19,5.13.0.19,False,False,"The reviewer strongly dislikes the app, describing it as terrible.",Negative,-1.0,User Experience,General Dissatisfaction,,Major,True,success
eaad19a8-b504-4e65-ad80-ed07e6de6ab0,,"Stop updating your app, it works fine no glitches. It's really annoying to have to keep downloading. That's 3 updates in 3 weeks. Either your programmers are incompetent or the approving authority is an indecisive squirl.",1.0,A Google user,5.13.3.6,2020-03-06 5:50,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,2.0,"Jonathan, I can understand how having to do updates so often can be inconvenient. We will pass this feedback along to the app developers. ^tb",2020-03-08 11:34,5.13.3.6,False,False,"The user is frustrated with the frequent updates to the Rogers app, which they feel are unnecessary and disruptive, and they criticize the app's developers and approving authority.",Negative,-0.8,User Experience,Frequent Updates,,Major,True,success
4ca93458-6ed3-44ef-b6ef-a9977afe740a,,App crashes now after updates. Can't get to my bill.,2.0,A Google user,5.12.0.5,2020-04-17 18:22,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Hey Patrick, that sounds extremely inconvenient. :( By any chance, have you attempted to power your device off and back on to see if this helps? Please give it a try and let us know! :) ^yc",2020-04-18 11:44,5.12.0.5,False,False,The app is crashing after updates and the user is unable to access their bill.,Negative,-0.8,App Crashes,Billing,App crashes,Critical,True,success
a54a3a6c-269b-4494-92ab-72c929f3aee9,,The App don't work after the new update,1.0,A Google user,5.14.1.1,2020-04-21 16:41,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Lawrence, it's disappointing to hear that the app is no longer working since you did the recent update. It may not have installed properly on your device. Please uninstall/reinstall or disable/enable the app on your device and let us know if issues are persistent. ^tb",2020-04-23 10:30,5.14.1.1,False,False,"The user is experiencing issues with the app after a recent update, and the app is not working properly.",Negative,-0.8,App Crashes,Post-Update Issues,App not working after new update,Critical,True,success
38848062-bd87-4102-bed3-521d68c80604,,Gliching,2.0,A Google user,3.7.2,2020-04-20 14:21,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Viktor, trying to use an app that glitches often is never a fun experience. What do you notice is happening when the app is not working properly? Do you get an error message of any kind? Does it happen when performing specific tasks? ^tb",2020-04-21 12:13,3.7.2,False,False,"The review mentions that the app is 'gliching', indicating technical issues with the app.",Negative,-0.8,App Crashes,Performance,Glitching,Major,True,success
2ec9aece-d699-4bf7-b7bf-de3993865f9a,,Great dash board,5.0,A Google user,5.14.1.1,2020-04-21 7:05,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Roger, thanks so much for the 5-star rating! =) ^tb",2020-04-21 12:33,5.14.1.1,False,False,"The reviewer is very satisfied with the app's dashboard feature, giving it a 5-star rating.",Positive,1.0,User Experience,Dashboard,,,True,success
1cb10ef3-54db-45aa-9f89-8549bf44b5d4,,I like the app set up. My only complaint is the billing section does not recognize the credit card entry and I have to use the website to pay. Problem was fixes in an updated.,4.0,A Google user,5.13.3.6,2020-03-06 6:40,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Colin, thanks for the honest feedback! We're glad you are enjoying the new 'look' of our app! I would recommend uninstalling the app and then reinstalling it to see if this fixes the issue with the payment window. Please keep us in the loop with the outcome! :) Update: Thanks so much for the update! ^tb",2020-03-08 11:52,5.13.3.6,True,False,"The user likes the app setup, but had an issue with the billing section not recognizing the credit card entry, which was later fixed in an update.",Positive,0.7,Billing,Payment Issues,Credit card entry not recognized,Minor,True,success
18d9afa5-aa8c-4eef-b68a-4320dc1b7e30,,Crash,1.0,A Google user,5.13.3.6,2020-03-06 7:04,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Akash, trying to use an app that is crashing often is never a good experience. Do you get an error message when the app is crashing? Does it crash during specific tasks only? ^tb",2020-03-08 11:55,5.13.3.6,False,False,The review indicates that the app is crashing.,Negative,-1.0,App Crashes,Crashes,Crashes,Critical,True,success
766fd325-edad-4ef4-b86e-47a7e7520445,,Piss poor,1.0,A Google user,5.13.3.6,2020-03-06 9:26,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Ryan, we're sad to see that our app has not lived up to your expectations. What aspects of the app did you find especially poor? We'll pass along your feedback to the app developers to review. ^tb",2020-03-08 12:39,5.13.3.6,False,False,"The review expresses a very negative sentiment towards the Rogers app, describing it as 'Piss poor'.",Negative,-1.0,User Experience,General Dissatisfaction,,Major,True,success
cabfcfa1-20ec-4983-9bf9-11364a57e71b,,It is easy to use.,5.0,A Google user,5.13.1.5,2020-02-12 5:43,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Rodolfo, we're glad you like our app! Thanks so much for the great review and a 5-star rating. =) ^tb",2020-02-16 11:32,5.13.1.5,False,False,The review states that the Rogers app is easy to use.,Positive,1.0,User Experience,Usability,,,True,success
1294ad60-c383-4b44-96cb-4f41c26f7f80,,Has a good amount of information and is easy to use,3.0,A Google user,5.13.0.19,2019-12-06 7:31,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,1.0,"That is wonderful, Dianna! We appreciate the feedback and would love to hear your thoughts on how we can earn that 5-star rating? Thanks so much and take care! :) ^yc",2019-12-06 12:29,5.13.0.19,False,False,The review indicates that the Rogers app has a good amount of information and is easy to use.,Positive,0.7,User Experience,Usability,,,True,success
