review_id,title,text,rating,author,app_version,date,app_name,platform,extraction_method,extraction_date,userImage,thumbs_up,developer_response,replied_at,appVersion,has_complaint,is_analyzed_by_id,analysis_status,error,claude_summary,claude_sentiment,primary_category,complaint_severity,output_tokens
12681362221,Mauvais service,"Belle et toujours plantée pis, on peut pas parler à personne, c’est c’est vraiment désagréable",1.0,"Ricard, 81",11.6.2,2025-05-21T08:38:13-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,Cannot connect to host api.anthropic.com:443 ssl:default [Too many open files in system],,,,,
12680919158,Constantly freezes,Often won’t even open just gets stuck on the loading screen. They remove closed accounts so you can’t see past or owing bills of closed accounts. Bad app,1.0,bdndururjrbt,11.6.0,2025-05-21T06:27:26-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,Cannot connect to host api.anthropic.com:443 ssl:default [Too many open files in system],,,,,
12679772163,Scam my account,I was stopped bell telephone using but every month they bills for nothing,1.0,Koorsa,11.6.0,2025-05-20T22:54:08-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,success,,The user was billed monthly for no apparent reason while using the Bell telephone service.,Negative,Billing,Major,55.0
12679355025,Not impressed,Service in my town sucks I always cut out or can’t get service and they don’t for the amount of time I have been with them they don’t have great incentives to stay,1.0,HaileeD mom of three!,11.6.0,2025-05-20T19:42:50-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,Cannot connect to host api.anthropic.com:443 ssl:default [Too many open files in system],,,,,
12679039719,No bill notifications,MyBell doesn’t send me notifications when my bill is available for payment. I only receive notifications when the bill is overdue. This is not helpful.,1.0,JL 24 Bell,11.6.0,2025-05-20T17:32:28-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,success,,"MyBell app doesn't send notifications for bill payment, only for overdue bills, which is not helpful.",Negative,Billing,Major,61.0
12678873411,Stop increasing my bills or I’m going to Roger’s,"This isn’t a threat, it’s a promise",1.0,Dumbnickname69420,11.6.0,2025-05-20T16:23:05-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,success,,"This isn't a threat, it's a promise",Negative,Other,Major,48.0
12678677025,Bill,The monthly price is increased unexpectedly without better services.,1.0,Internet research,11.6.0,2025-05-20T15:00:33-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,success,,The monthly price was increased without better services.,Negative,Billing,Major,47.0
12677855001,Version 11.6,Ne fonctionne pas complètement sur certain iPad 6e génération avec iOS 17.7.7,1.0,Pedrofortines,11.6.0,2025-05-20T09:57:35-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,success,,The app does not work completely on certain iPad 6th generation devices with iOS 17.7.7.,Negative,App Crashes,Major,62.0
12677158998,To expensive,To expensive for the services I am getting,1.0,M la ou,11.6.0,2025-05-20T06:22:49-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,Cannot connect to host api.anthropic.com:443 ssl:default [Too many open files in system],,,,,
12676026476,Terrible Service,"Terrible support, regret switching from Roger’s to Bell , your adds say to support people with disabilities??? Worst ?!!experience I have had to deal with?!? I have been trying to deal with your so say support for a year now?? People in the Philippines don’t seem to care ??? Trying to make a payment and it frustrating",1.0,Fu1069,11.6.0,2025-05-19T22:29:42-07:00,Bell,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,Cannot connect to host api.anthropic.com:443 ssl:default [Too many open files in system],,,,,
