review_id,title,text,rating,author,app_version,date,app_name,platform,extraction_method,extraction_date,userImage,thumbs_up,developer_response,replied_at,appVersion,has_complaint,is_analyzed_by_id,analysis_status,error
12327107965,No,Hot garbage and useless app should be named MyCrapapp,1.0,Telus why,6.21.3,2025-02-18T13:19:04-07:00,Rogers,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,"'""summary""'"
12308318619,Billing,Have to pay a high bill …win back team misguided and called Roger’s five times ..rogers put it on win back team and win back on Roger’s…plz don’t trust win back team,1.0,A misguided costumer..,6.21.1,2025-02-13T19:32:32-07:00,Rogers,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,"'""summary""'"
12009764288,Worst app,This app is garbage developers got millions of dollars for this garbage its never open ….. trying to open this garbage from 4 days coz i need to pay bill and it never opens …. They got all fake reviews this garbage app doesn't deserve 4 star i wish i can give less thn 1 star,1.0,I'm ifw,6.19.0,2024-11-30T08:20:27-07:00,Rogers,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,"'""summary""'"
11815066536,Rogers,Rogers is incredibly useless,1.0,sevenirish,6.17.0,2024-10-09T08:45:15-07:00,Rogers,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,"'""summary""'"
11439090431,"One of the big three, keeping consumer costs elevated.","Rogers, Bell, Telus; a closed triopoly, not interested in a free market, but only keeping Canadians hostage to their profit goals. 
Their prices (and profits) are kept high by keeping competition out. There is no proactive action taken to work towards securing better deals for clients… and there’s two other paths to take, which are different sides of the same triangle of corporate greed. They lobby really, really hard, under the guise of protecting Canadian interests, when their concern is only self serving.
Open up the communication market and see how well these three succeed in the face of fair competition.",2.0,P:ssed off,6.16.0,2024-06-29T21:05:19-07:00,Rogers,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,"'""summary""'"
10924337013,Legal scammers,Your internet service is so crappy I had t buy a diaper for my modem…In a ideal word Rogers should not exist!,1.0,f$ uber,6.10.0,2024-02-10T10:52:41-07:00,Rogers,iOS,itunes_rss,2025-05-22,,,,,,False,False,exception,"'""summary""'"
254a26b0-4e95-4e4d-b362-3c9d2c0a29f6,,"keeps crashing, does not let me pay my bills (something went wrong try later). y'all need to fix up, I'm not paying these late fees",1.0,A Google user,6.23.0.36,2025-05-21 7:58,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"The app crashing is disappointing. To help you effectively, we would like to have more information about the issue, the app version, and device details. Please post the details on our Apps board: https://roge.rs/2YYdIXe. To avoid a late payment charge, please consider paying your bill using one of the options: https://roge.rs/3OpjgE3. ^ms


",2025-05-21 13:59,6.23.0.36,False,False,exception,"'""summary""'"
82f608f0-ab58-4457-9af5-cde6bb0fccf0,,So far so good thanks Roger’s,5.0,A Google user,,2025-05-20 16:48,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,Thanks for your review! We're delighted to know you are pleased with Rogers as a whole. Don’t hesitate to shoot us a note at https://communityforums.rogers.com if you have any questions. ^mg,2025-05-21 8:13,,False,False,exception,"'""summary""'"
706f6d7b-0789-46c9-ae21-774be0568259,,app is okay... but can we please remove that picture of the woman on there? it makes me just use the web app instead. luckily I have a way to uninstall this system app.,1.0,A Google user,6.23.0.36,2025-05-20 14:59,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,Hi Austin! Thank you for the review. Can you share more details about your problem at https://communityforums.rogers.com? Thank you ^jjl,2023-06-03 17:23,6.23.0.36,False,False,exception,"'""summary""'"
12e3a508-7230-499c-8578-678ef816d642,,The switch from my old sim to my new sim was easy and I also got to keep my old number!,5.0,A Google user,6.23.0.36,2025-05-20 14:37,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,0.0,"Good day Lisa, we're pleased to know your SIM and phone number transfer went smoothly and we're very grateful you took the time to share your feednack with us. Cheers! ^mg",2025-05-21 8:13,6.23.0.36,False,False,exception,"'""summary""'"
1c6a5984-7ed7-4a21-b4b2-3bf4c416bcce,,Nov 2019: Very simple to use. Detailed enough for a quick look at current services and bill summary etc. Cannot view specific things on your bill but you can do that on desktop version which is fine. Update May 2025: app crashes a lot. Hopefully fixed soon.,3.0,A Google user,6.23.0.36,2025-05-20 13:55,Rogers,Android,google_play_scraper,2025-05-22,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,1.0,"Hey PMT, we truly appreciate the feedback on the MyRogers app. Thanks for taking the time to leave this awesome review. ^mg",2019-11-06 15:36,6.23.0.36,False,False,exception,"'""summary""'"
