id,app,platform,rating,date,content,old_category,new_category
31dba24c54a779dc03a4525570ae3658,Bell,iOS,1,2025-05-23 13:55:41,"I ordered my Bell home Internet in December 2024, with promotion price $50 per month, but Bell put a wrong installation address. Contacted Bell customer service, they cancelled the order and place a new order for me , the price become $55 per month, the reason given was the promotion period just passed. Now I surprise see my monthly charge is $136, called Bell customer services three time, the first time they cannot find my account, the second time they found the price mistake and promised to correct it in the next bill, but next bill still $136 per month, call their the third time, they told me my original order price was $136, then cut off the call. I guess I need continue to call them the fourth to ten times, probably every body day different, cannot believe Such a big company has that funny customer service team,.",Customer Support,Billing
be3cb15eebc133cf97302b4950994412,Bell,iOS,1,2025-05-21 18:37:46,"Our bill for the services provided is supposed to be 107$ but a few months after we got that deal bell bumped it up to 114 and i let it slide but now they just bumped it up to 120 and we have unlimited everything so its not like there is overage charges

Now in order to straighten this out ill have to call them and wait on hold for 45 mins and hopefully get it figured out

It be sweet if they just stuck with billing what they told me it would be.",Customer Support,Billing
5770459c78f7162fb5e36e0ae4af4c9d,Bell,iOS,1,2025-05-19 22:29:42,"Terrible support, regret switching from Roger’s to Bell , your adds say to support people with disabilities??? Worst ?!!experience I have had to deal with?!? I have been trying to deal with your so say support for a year now?? People in the Philippines don’t seem to care ??? Trying to make a payment and it frustrating",Customer Support,Billing
db513d3a-3f53-4c25-925b-ac9d38137da9,Bell,Android,1,2025-05-16 11:54:23,Clowns keep bothering you befor your bill is due,Customer Support,Billing
12640884663,Bell,iOS,5,2025-05-10 07:59:25,Bon services de la part des 3 personnes à qui j’ai parler . Merci,Customer Support,Service Quality
2d6a86fd-092f-4d12-8848-ee7a033c8912,Bell,Android,5,2025-05-08 08:51:24,great customer service,Customer Support,Service Quality
8d085cb2-bf79-43bd-b6eb-69fbae8ae8e5,Bell,Android,5,2025-05-08 07:12:06,bon service..merci,Customer Support,Service Quality
12633037604,Bell,iOS,1,2025-05-08 05:34:32,"I received an email stating that I had not payed my April 2025 bill, it was paid on the day I received the bell statement, which was pain on April 7, 2025, after wasting an hour trying to connect with Bell , I said I should be compensated for my time dealing with this issue, told “we do not credit people” maybe I received a scam email and Bell is aware that scam emails with their logo are being sent out but Bell does not have decency to let their customers know about it, I am totally let down by Bell, it costumer care department, maybe time to change supplier",Customer Support,Billing
12627326193,Bell,iOS,5,2025-05-06 14:17:32,Wonderful patient service,Customer Support,Service Quality
018f23c2-9603-4a37-9030-4ca2803dc831,Bell,Android,5,2025-05-06 11:49:06,Outstanding service.,Customer Support,Service Quality
12626897164,Bell,iOS,5,2025-05-06 11:35:06,The representative I spoke with was very helpful in resolving my issues…best service yet with Bell …sorry I forgot his name,Customer Support,Service Quality
12606785801,Bell,iOS,1,2025-05-01 06:13:21,There is no person to reach to discuss one’s particular issue. Instead one is committed to leading through a host of issues that do not apply. Poor customer service as if you give a damn,Customer Support,Service Quality
12600820960,Bell,iOS,1,2025-04-29 15:32:00,"Horrible service, not one service rep knows what they are doing or can assist properly, inadequate billing. Just overall horrible!",Customer Support,Billing
12599289677,Bell,iOS,1,2025-04-29 06:29:41,"Service is not really good, specially the last adisir who answer my call",Customer Support,Service Quality
a147a5c9-9f1b-4c6a-bcbd-a86acc5a3e54,Rogers,Android,1,2025-04-28 13:31:23,"worse provider I've ever dealt with, customer service is beyond horrible",Customer Support,Service Quality
e73387cb-b161-4f65-8952-03cb20b8ffe4,Bell,Android,5,2025-04-26 16:25:51,got my new s25 Samsung phone from bell good service from the people I talked with ! but the waiting time is long ! but I got a good plan from them,Customer Support,Service Quality
b02fffb9-e50a-4446-9562-71dc87a01684,Bell,Android,5,2025-04-24 19:08:33,Great service. the person who helped me was patient and friendly.,Customer Support,Service Quality
87473d28-5924-4292-848d-6a75709f965f,Rogers,Android,1,2025-04-24 17:46:48,"Completely stopped working. Cannot view my bill which is important cause somehow it stopped coming by mail and no email... so I was behind on payment. Never get to speak to a representative when I call, just tells me they're experiencing high volume calls and for me to ""try again later""... worst service ever!",Customer Support,Billing
d8599f48-fffb-464f-9183-7938a701b5b2,Bell,Android,1,2025-04-24 16:00:32,"Bell customer service is really lousy. If their internet was not good, I would never be with them.",Customer Support,Service Quality
12563122642,Bell,iOS,1,2025-04-19 13:45:29,I am signed up for auto pay I paid my bill 3 times set up for payment arrangement and you still havnt processed my payment!!!  You canceled my sons cell phone while he’s out of the province with no way to get help!!!!!I’ve been trying to get help for over 3 hours!! Bell customer service is THE WORST!! 🤬🤬,Customer Support,Billing
12563034138,Bell,iOS,1,2025-04-19 13:11:06,"Terrible experience from customer service not able to resolve issue. Will be disputing through bank and not resolved will not be continuing the service. 

Kindly,
Bilbin",Customer Support,Service Quality
ab21770e-d7a0-43eb-8350-4819f4ae4483,Bell,Android,5,2025-04-19 11:58:40,Great service,Customer Support,Service Quality
12562641349,Bell,iOS,1,2025-04-19 10:54:05,"Your service is beyond horrible, if I don’t hear back from your loyalty department within 4 days I plan to cancel my service after over 30 years",Customer Support,Service Quality
12559694932,Bell,iOS,1,2025-04-18 17:19:24,"Agents on phone were deliberately unhelpful and unwilling to be understanding of my situation where I travelled to Hawai’i from Canada and forgot to turn roaming off and even though I had used a microscopic amount of internet and made a few texts they saw it as their best interest to charge me for the two days I texted and called my family while in Hawaii, they (Bell) and the different agents I spoke to to be rude and unhelpful and basically said I have to pay an extra 300 or so dollars on my bill , on top of my usual 180 or so . They refused to be empathetic to me a mother travelling alone , with much going on . I changed my plan after I realized I was roaming but still my bill was over 500 dollars and that is RIDICULOUS",Customer Support,Billing
68513dc3-0332-4d9c-a21a-cefa71fae1a9,Bell,Android,5,2025-04-18 08:38:55,"I've been with Bell for 25 years and I've found the last few years the sales people on the store's floor have poor attitudes. This person looked like they did not want to be there. Bells always had such knowledgeable staff. Just trying to make a point that once mistakes happen at the sales level, it'll come back to the customer at billing time. I understand that we as customers have a responsibility to understand the contract but we should've been told about all of the options beforehand.",Customer Support,Billing
12555219053,Bell,iOS,5,2025-04-17 13:49:17,Annie is very Helpfull I tried paying my bill the other associates want Help they told me to call but Annie Help me navigate thru MyBell app,Customer Support,Billing
12c30d6c-2680-4e5a-afe7-f0f9d76e4464,Bell,Android,1,2025-04-16 16:16:07,"nearly doubles service cost without warning, support is a waste of time. consider alternatives",Customer Support,Service Quality
12550919826,Bell,iOS,1,2025-04-16 11:26:42,I received my bill for Bell services online. I was shocked to notice that I owed. over $1100. When I checked my payment on my credit card bill. I saw that it was a valid charge as I had not paid for a couple of months. I was still concerned with the method with which it had been allowed to add up. As I had been in the hospital much of the time.. I am merely wanted to discuss this with a service representative and was looking for a phone number.. Do you think AI would provide me with a phone number ? after several temp attempts to get a contact number I gave up and now I am writing a review that is all I’m able to do right at this time,Customer Support,Billing
7898c30c-e6b4-4157-8e89-d1abf4d95ca1,Bell,Android,5,2025-04-15 19:54:53,Much better customer service than rogers unprofessional hustlers!,Customer Support,Service Quality
12540626239,Bell,iOS,3,2025-04-13 18:50:01,Both calls to Bell were unsuccessful in acquiring information on my Bell acct as there’s a phone # with a phone # similar that has an outstanding $2 balance.  Your business called me however customer service couldn’t confirm my acct. you need to listen to my recorded call and get back to me,Customer Support,Billing
